"","Name","Type of Insurance Company","Insurance Category","Insurance Company Status","Authorization Country","Country of Authorisation","Website","Link","address"
"1","""OZK - INSURANCE"" JSC","Freedom To Provide Services","Non Life Insurance","Active","Greece","Bulgaria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5081","Sveta Sofia Str. 7, 1301, Sofia Bulgaria"
"2","AACHENER UND MUNCHNER V.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1271",""
"3","AB LIETUVOS DRAUDIMAS","Freedom To Provide Services","Non Life Insurance","Active","Greece","Lithuania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1939","J.BASANAVICIAUS G. 12, LT-03600, Vilnius Lithuania"
"4","ABC INSURANCE S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Romania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=414","Str. Gara Herastrau, Nr. 4B, etaj 10, Bucuresti, sector 2, Bucharest Romania"
"5","ABEILLE ASSURANCE","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1463",""
"6","ABEILLE IARD & SANTE","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2035","13 Rue du Moulin Bailly, 92270 Bois Colombes, Paris France"
"7","ACCELERANT INSURANCE EUROPE SA/NV","Branch","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5186","Marsveldplein, Place du Champ de Mars 5, 1050, Brussels Belgium"
"8","ACCELERANT INSURANCE EUROPE SA/NV","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5057","Marsveldplein, Place du Champ de Mars 5, 1050, Brussels Belgium"
"9","ACCELERANT INSURANCE LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5047","The Strand, Office 2 Fawwara Building, GZR 1401, Gzira Malta"
"10","ACCENT EUROPE INSURANCE CO LTD","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1371",""
"11","Accredited Insurance (Europe) Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2359","DEVELOPMENT HOUSE, ST.ANNE STR., 3rd floor, FLORIANA FRN 9010, Valletta Malta"
"12","ACHMEA SCHADEVERZEKERINGEN N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1618","LAAN VAN MALKENSCHOTEN 20, 73333, Apeldoorn Holland"
"13","Achmea Zorgverzekeringen N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2648","Dellaertweg 1, 2316 WZ, Amsterdam Holland"
"14","ACREDIA VERSICHERUNG AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Austria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1200","Himmelpfortgasse 29, 1010, Vienna Austria"
"15","ADAC Versicherung AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3028","Hansastrasse 19, 80686, Munich Germany"
"16","ADB ""Compensa Vienna Insurance Group""","Freedom To Provide Services","Non Life Insurance","Active","Greece","Lithuania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2665","Ukmerges 280, LT - 06115, Vilnius Lithuania"
"17","ADB ""GJENSIDIGE""","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Lithuania","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2397",""
"18","Advent Insurance PCC Ltd","Freedom To Provide Services","Non Life Insurance","Active","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2654","The Landmark, Level 1, Suite 2 Triq L-Iljun, QRM 3800, Qormi Malta"
"19","ADVIGON VERSICHERUNG AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Lichtenstain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2942","Drescheweg 1, 9490 , Vaduz Lichtenstain"
"20","AEGON TOWARZYSTWO UBEZPIECZEN NA ZYCIE S.A.","Freedom To Provide Services","Life Insurance","Active","Greece","Poland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=323","Woloska 5, 02-675, Warsaw Poland"
"21","AETNA HEALTH INSURANCE COMPANY OF EUROPE dac","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1688","Alexandra House The Sweepstakes Ballsbridge , Dublin 4, Dublin Irland"
"22","Aetna Insurance Company Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1673","Templer Avenue, 2nd Floor 25, GU14 6FE, Farnborough United Kingdom"
"23","AFI.ESCA Luxembourg S.A.","Freedom To Provide Services","Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5200","Rue de Fort Wallis 4, 2714 Luxembourg, Luxembourg Luxemburg"
"24","AGEAS INSURANCE LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1442",""
"25","AGRIPPINA VERSICHERUNG-A","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1377",""
"26","AIG BULGARIA ZDP EAD","Freedom To Provide Services","Non Life Insurance","Active","Greece","Bulgaria","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=310","Iskar str. 4 Sofia Bulgaria"
"27","AIG CZECH REPUBLIC pojistovna, a.s.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Czech Republic","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1551",""
"28","AIG EUROPE LIMITED","Branch","Non Life Insurance","License Withdrawal","Greece","United Kingdom","www.AIG.com","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=424","Fenchurch Street 58, EC3M 4AB, London United Kingdom"
"29","AIG Europe SA","Branch","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3000","Avenue John Kennedy 35D, L-1855, Luxembourg Luxemburg"
"30","AIG Europe SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3139","Avenue John Kennedy 35D, L-1855, Luxembourg Luxemburg"
"31","AIGAION INSURANCE COMPANY S.A.","Insurance Undertaking","Non Life Insurance","Liquidation","Greece","Greece","www.aigaion.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=22","A. Lazaraki & Pandoras 8, 16674, Athens, Attic, Greece"
"32","AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE L","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1562","OLD JEWRY 11, EC2R 8DU, London United Kingdom"
